Edited Sentence,Pairs Idx
Do kawiarni weszła kobieta.,1
Kobieta weszła do kawiarni.,1
Przez most przeszedł mężczyzna.,2
Mężczyzna przeszedł przez most.,2
Psa zobaczyło dziecko.,3
Dziecko zobaczyło psa.,3
Na biurku leży książka.,4
Książka leży na biurku.,4
Po drodze jeździ samochód.,5
Samochód jeździ po drodze.,5
W parku biega pies.,6
Pies biega w parku.,6
Kwiaty kupiła kobieta.,7
Kobieta kupiła kwiaty.,7
Książkę czyta mężczyzna.,8
Mężczyzna czyta książkę.,8
Z przyjacielem gra dziecko.,9
Dziecko gra z przyjacielem.,9
Na parkingu stoi samochód.,10
Samochód stoi na parkingu.,10
Domu szuka pies.,11
Pies szuka domu.,11
Z przyjacielem rozmawia kobieta.,12
Kobieta rozmawia z przyjacielem.,12
Film ogląda mężczyzna.,13
Mężczyzna ogląda film.,13
W szkole uczy się dziecko.,14
Dziecko uczy się w szkole.,14
Na lotnisko jedzie samochód.,15
Samochód jedzie na lotnisko.,15
Po plaży biega pies.,16
Pies biega po plaży.,16
Buty kupuje kobieta.,17
Kobieta kupuje buty.,17
Gazetę czyta mężczyzna.,18
Mężczyzna czyta gazetę.,18
Z kotem gra dziecko.,19
Dziecko gra z kotem.,19
Na ulicy stoi samochód.,20
Samochód stoi na ulicy.,20
Karmy szuka pies.,21
Pies szuka karmy.,21
Z rodzicami rozmawia kobieta.,22
Kobieta rozmawia z rodzicami.,22
Telewizję ogląda mężczyzna.,23
Mężczyzna ogląda telewizję.,23
Języka angielskiego uczy się dziecko.,24
Dziecko uczy się języka angielskiego.,24
Do sklepu jedzie samochód.,25
Samochód jedzie do sklepu.,25
Po parku biega pies.,26
Pies biega po parku.,26
Kosmetyki kupuje kobieta.,27
Kobieta kupuje kosmetyki.,27
Książkę historyczną czyta mężczyzna.,28
Mężczyzna czyta książkę historyczną.,28
Z przyjaciółmi gra dziecko.,29
Dziecko gra z przyjaciółmi.,29
Domu swojego szuka pies.,30
Pies szuka domu swojego.,30
Z koleżanką rozmawia kobieta.,31
Kobieta rozmawia z koleżanką.,31
Film dokumentalny ogląda mężczyzna.,32
Mężczyzna ogląda film dokumentalny.,32
Języka niemieckiego uczy się dziecko.,33
Dziecko uczy się języka niemieckiego.,33
Do restauracji jedzie samochód.,34
Samochód jedzie do restauracji.,34
Po plaży wakacyjnej biega pies.,35
Pies biega po plaży wakacyjnej.,35
Ubrania kupuje kobieta.,36
Kobieta kupuje ubrania.,36
Książkę naukową czyta mężczyzna.,37
Mężczyzna czyta książkę naukową.,37
Z rodzeństwem gra dziecko.,38
Dziecko gra z rodzeństwem.,38
Na ulicy głównej stoi samochód.,39
Samochód stoi na ulicy głównej.,39
Karmy dla psa szuka pies.,40
Pies szuka karmy dla psa.,40
Z przyjaciółką rozmawia kobieta.,41
Kobieta rozmawia z przyjaciółką.,41
Film akcji ogląda mężczyzna.,42
Mężczyzna ogląda film akcji.,42
Języka francuskiego uczy się dziecko.,43
Dziecko uczy się języka francuskiego.,43
Do muzeum jedzie samochód.,44
Samochód jedzie do muzeum.,44
Po parku wiosennym biega pies.,45
Pies biega po parku wiosennym.,45
Kosmetyki dla ciała kupuje kobieta.,46
Kobieta kupuje kosmetyki dla ciała.,46
Książkę faktu czyta mężczyzna.,47
Mężczyzna czyta książkę faktu.,47
Z przyjacielem ze szkoły gra dziecko.,48
Dziecko gra z przyjacielem ze szkoły.,48
Na parkingu przed domem stoi samochód.,49
Samochód stoi na parkingu przed domem.,49
Domu swojego w mieście szuka pies.,50
Pies szuka domu swojego w mieście.,50
Z koleżanką ze szkoły rozmawia kobieta.,51
Kobieta rozmawia z koleżanką ze szkoły.,51
Film animowany ogląda mężczyzna.,52
Mężczyzna ogląda film animowany.,52
Języka hiszpańskiego uczy się dziecko.,53
Dziecko uczy się języka hiszpańskiego.,53
Do sklepu z elektroniką jedzie samochód.,54
Samochód jedzie do sklepu z elektroniką.,54
Po plaży letniej biega pies.,55
Pies biega po plaży letniej.,55
Ubrania dla dzieci kupuje kobieta.,56
Kobieta kupuje ubrania dla dzieci.,56
Z przyjacielem w parku gra dziecko.,57
Dziecko gra z przyjacielem w parku.,57